# ants,# Iterations,alpha,beta,Evaporation Rate,Q,Path,Path Length
100,50000,1,4.0,0.5,1,"[20, 28, 35, 16, 25, 5, 18, 27, 13, 36, 33, 14, 44, 32, 55, 45, 48, 46, 50, 9, 34, 40, 53, 54, 1, 47, 38, 2, 51, 42, 26, 4, 22, 11, 56, 23, 57, 43, 17, 0, 12, 39, 24, 8, 29, 31, 19, 52, 49, 3, 21, 7, 10, 15, 37, 41, 30, 6, 20]",24111.0
100,50000,1,4.0,0.5,1,"[21, 7, 53, 1, 40, 34, 9, 51, 50, 46, 48, 2, 28, 35, 16, 25, 5, 18, 27, 13, 36, 33, 14, 44, 45, 55, 32, 54, 47, 38, 10, 20, 4, 26, 42, 11, 56, 22, 23, 57, 17, 43, 8, 24, 39, 12, 29, 0, 31, 19, 49, 52, 3, 15, 41, 37, 30, 6, 21]",26583.0
100,50000,1,4.0,0.5,1,"[3, 49, 52, 19, 12, 39, 24, 8, 31, 29, 0, 43, 17, 23, 57, 25, 18, 5, 13, 27, 32, 33, 14, 45, 55, 44, 28, 35, 16, 51, 34, 9, 50, 48, 46, 2, 38, 40, 1, 53, 54, 7, 21, 47, 20, 4, 42, 26, 11, 56, 22, 36, 10, 15, 41, 37, 30, 6, 3]",26851.0
100,50000,1,4.0,0.5,1,"[38, 28, 35, 16, 25, 5, 18, 32, 44, 36, 13, 27, 46, 50, 48, 9, 51, 34, 53, 54, 1, 40, 2, 47, 26, 42, 11, 56, 22, 4, 57, 23, 43, 17, 0, 29, 39, 12, 24, 8, 31, 19, 52, 49, 3, 7, 21, 15, 10, 20, 33, 14, 55, 45, 41, 37, 30, 6, 38]",27518.0
100,50000,1,4.0,0.5,1,"[23, 57, 43, 17, 0, 12, 39, 29, 8, 24, 31, 19, 52, 49, 3, 1, 53, 54, 2, 28, 5, 18, 16, 35, 25, 27, 13, 36, 32, 44, 55, 33, 45, 14, 46, 48, 50, 9, 51, 34, 40, 47, 38, 10, 20, 21, 7, 42, 26, 11, 56, 22, 4, 15, 37, 41, 30, 6, 23]",27297.0
100,50000,1,4.0,0.2,1,"[0, 17, 43, 57, 23, 29, 12, 39, 24, 8, 31, 19, 52, 49, 3, 2, 38, 47, 28, 46, 48, 9, 50, 51, 34, 40, 1, 53, 54, 21, 7, 4, 26, 11, 42, 56, 22, 36, 13, 32, 44, 45, 55, 33, 14, 27, 5, 18, 25, 16, 35, 20, 10, 15, 41, 37, 30, 6, 0]",25429.0
100,50000,1,4.0,0.2,1,"[54, 53, 1, 40, 46, 50, 51, 34, 9, 2, 38, 47, 48, 11, 26, 42, 4, 22, 56, 23, 57, 17, 0, 43, 24, 8, 12, 39, 29, 31, 19, 52, 49, 3, 21, 7, 28, 35, 16, 25, 18, 5, 27, 13, 36, 33, 14, 55, 32, 44, 45, 20, 10, 15, 41, 37, 6, 30, 54]",26594.0
100,50000,1,4.0,0.2,1,"[23, 57, 17, 43, 0, 29, 12, 39, 8, 24, 31, 19, 52, 49, 3, 28, 38, 2, 34, 51, 50, 46, 48, 9, 40, 1, 47, 53, 54, 7, 21, 22, 4, 26, 11, 56, 42, 35, 16, 25, 5, 18, 27, 13, 36, 32, 44, 55, 33, 14, 45, 20, 10, 15, 41, 37, 30, 6, 23]",24869.0
100,50000,1,4.0,0.2,1,"[2, 1, 40, 34, 9, 51, 48, 46, 50, 16, 25, 18, 5, 27, 13, 36, 33, 45, 55, 32, 44, 14, 22, 23, 57, 43, 17, 0, 29, 39, 12, 8, 24, 31, 19, 52, 49, 3, 7, 21, 54, 53, 47, 28, 35, 4, 26, 42, 11, 56, 20, 38, 10, 15, 37, 41, 30, 6, 2]",26403.0
100,50000,1,4.0,0.2,1,"[23, 57, 17, 43, 0, 29, 39, 24, 8, 12, 31, 19, 52, 49, 3, 22, 11, 56, 26, 4, 50, 46, 48, 51, 9, 34, 40, 53, 54, 21, 7, 47, 1, 2, 20, 28, 35, 16, 25, 5, 27, 18, 36, 13, 32, 44, 55, 45, 33, 14, 42, 38, 10, 15, 37, 41, 30, 6, 23]",25557.0
100,50000,1,2.0,0.2,1,"[16, 25, 5, 32, 27, 13, 36, 44, 55, 48, 46, 50, 51, 9, 1, 40, 53, 47, 54, 21, 7, 33, 45, 14, 38, 34, 2, 10, 35, 20, 18, 28, 42, 22, 4, 56, 11, 26, 0, 12, 24, 8, 31, 17, 29, 39, 57, 23, 43, 19, 52, 49, 3, 15, 37, 41, 30, 6, 16]",35218.0
100,50000,1,2.0,0.2,1,"[35, 16, 32, 13, 55, 33, 14, 3, 8, 29, 24, 31, 12, 39, 38, 34, 1, 40, 54, 53, 50, 9, 2, 46, 51, 48, 47, 21, 7, 18, 5, 25, 27, 36, 44, 45, 42, 26, 56, 11, 22, 4, 43, 17, 23, 57, 0, 52, 49, 19, 28, 20, 10, 15, 37, 41, 30, 6, 35]",39938.0
100,50000,1,2.0,0.2,1,"[43, 17, 22, 11, 42, 26, 46, 51, 50, 16, 35, 27, 33, 45, 55, 13, 5, 25, 44, 32, 36, 2, 48, 47, 53, 1, 40, 34, 9, 21, 54, 7, 31, 8, 24, 39, 29, 12, 57, 23, 0, 19, 52, 49, 3, 18, 14, 28, 10, 20, 38, 15, 4, 56, 37, 41, 6, 30, 43]",39902.0
100,50000,1,2.0,0.2,1,"[10, 7, 21, 54, 53, 1, 47, 2, 34, 9, 50, 48, 46, 36, 13, 35, 25, 18, 5, 32, 27, 16, 51, 40, 38, 37, 15, 56, 17, 43, 23, 57, 11, 42, 26, 4, 22, 31, 8, 24, 39, 12, 29, 0, 49, 52, 19, 3, 33, 14, 44, 55, 45, 28, 20, 41, 30, 6, 10]",38562.0
100,50000,1,2.0,0.2,1,"[19, 29, 12, 39, 24, 8, 17, 43, 4, 38, 53, 54, 47, 21, 7, 10, 15, 42, 26, 11, 56, 34, 40, 1, 51, 50, 46, 48, 9, 2, 28, 18, 5, 25, 16, 35, 20, 33, 45, 13, 36, 14, 44, 55, 32, 27, 52, 49, 3, 57, 0, 31, 23, 22, 41, 37, 30, 6, 19]",36878.0
100,50000,1,2.0,0.5,1,"[9, 48, 46, 50, 40, 51, 34, 38, 47, 1, 53, 54, 21, 11, 56, 22, 26, 42, 5, 25, 16, 35, 20, 2, 28, 44, 14, 36, 13, 32, 18, 27, 4, 57, 23, 17, 43, 31, 24, 39, 29, 8, 12, 0, 52, 49, 3, 19, 10, 15, 7, 45, 33, 55, 37, 41, 30, 6, 9]",36567.0
100,50000,1,2.0,0.5,1,"[14, 55, 45, 44, 32, 18, 5, 25, 16, 35, 28, 40, 47, 34, 9, 46, 48, 50, 54, 1, 21, 12, 0, 17, 43, 57, 23, 4, 53, 51, 2, 7, 8, 24, 29, 39, 31, 11, 56, 26, 22, 42, 10, 38, 20, 36, 13, 33, 27, 3, 49, 52, 19, 15, 41, 30, 6, 37, 14]",39762.0
100,50000,1,2.0,0.5,1,"[20, 28, 38, 7, 21, 50, 2, 34, 9, 48, 46, 51, 26, 56, 11, 42, 17, 0, 29, 12, 24, 39, 31, 8, 43, 54, 53, 40, 1, 4, 22, 25, 5, 27, 13, 36, 18, 16, 35, 47, 32, 45, 33, 14, 55, 44, 10, 15, 57, 23, 19, 52, 49, 3, 41, 37, 30, 6, 20]",35954.0
100,50000,1,2.0,0.5,1,"[3, 52, 49, 43, 17, 48, 50, 46, 35, 5, 27, 36, 14, 33, 45, 55, 32, 13, 44, 11, 42, 26, 56, 53, 34, 51, 9, 40, 28, 54, 25, 18, 16, 22, 20, 21, 47, 1, 38, 10, 2, 15, 19, 31, 24, 39, 12, 8, 29, 0, 23, 57, 4, 7, 37, 41, 30, 6, 3]",37871.0
100,50000,1,2.0,0.5,1,"[6, 30, 15, 10, 54, 53, 34, 50, 46, 51, 42, 9, 48, 16, 35, 32, 13, 14, 33, 45, 44, 55, 20, 27, 5, 25, 18, 2, 49, 19, 24, 39, 12, 29, 8, 31, 17, 43, 23, 57, 0, 52, 3, 4, 22, 11, 1, 40, 28, 47, 38, 36, 26, 56, 7, 21, 41, 37, 6]",38756.0
100,50000,1,2.0,0.2,1,"[27, 5, 25, 18, 55, 36, 13, 32, 44, 33, 16, 35, 34, 48, 46, 50, 9, 1, 2, 51, 10, 20, 38, 53, 54, 7, 42, 26, 45, 14, 11, 56, 43, 57, 23, 0, 29, 39, 24, 31, 8, 12, 17, 22, 4, 40, 47, 28, 21, 49, 19, 3, 52, 15, 37, 41, 30, 6, 27]",37722.0
100,50000,1,2.0,0.2,1,"[56, 11, 54, 1, 40, 53, 48, 16, 35, 18, 25, 5, 20, 55, 33, 45, 44, 14, 42, 26, 2, 50, 51, 9, 34, 32, 27, 46, 47, 38, 10, 28, 21, 7, 17, 0, 43, 57, 23, 52, 3, 39, 31, 8, 12, 24, 29, 19, 49, 22, 4, 36, 13, 15, 37, 6, 30, 41, 56]",39113.0
100,50000,1,2.0,0.2,1,"[5, 25, 16, 35, 27, 36, 13, 32, 55, 45, 33, 14, 44, 18, 2, 38, 28, 53, 54, 34, 9, 51, 50, 46, 48, 42, 26, 7, 1, 40, 47, 21, 41, 15, 29, 12, 39, 24, 8, 31, 19, 52, 49, 23, 17, 43, 0, 56, 22, 11, 4, 57, 10, 20, 37, 30, 6, 3, 5]",41330.0
100,50000,1,2.0,0.2,1,"[36, 13, 45, 33, 14, 32, 44, 55, 35, 16, 51, 48, 46, 40, 1, 34, 9, 50, 4, 22, 56, 11, 26, 42, 25, 18, 5, 27, 47, 2, 38, 20, 28, 7, 21, 54, 53, 43, 17, 0, 29, 12, 39, 24, 8, 19, 52, 31, 10, 15, 41, 37, 30, 6, 49, 3, 57, 23, 36]",37901.0
100,50000,1,2.0,0.2,1,"[47, 38, 21, 54, 53, 51, 9, 2, 46, 48, 50, 25, 16, 10, 35, 20, 28, 18, 5, 26, 22, 4, 32, 27, 13, 36, 44, 33, 14, 55, 45, 11, 42, 56, 57, 0, 29, 24, 39, 12, 31, 8, 17, 43, 23, 34, 40, 1, 7, 3, 49, 52, 19, 37, 30, 6, 41, 15, 47]",39029.0
100,10000,1,2.0,0.2,1,"[52, 49, 56, 26, 42, 4, 9, 34, 51, 2, 1, 53, 40, 50, 46, 48, 18, 25, 16, 5, 27, 33, 45, 55, 32, 44, 36, 13, 14, 20, 35, 21, 7, 54, 47, 28, 38, 22, 17, 43, 23, 57, 3, 19, 39, 31, 8, 24, 12, 29, 0, 10, 15, 30, 6, 37, 41, 11, 52]",38496.0
100,10000,1,2.0,0.2,1,"[55, 14, 33, 45, 44, 32, 13, 36, 27, 18, 5, 25, 51, 9, 50, 46, 48, 34, 28, 35, 2, 38, 1, 53, 26, 42, 11, 22, 4, 7, 31, 24, 29, 12, 8, 39, 0, 43, 57, 23, 56, 10, 40, 47, 20, 54, 21, 3, 49, 52, 19, 17, 16, 15, 41, 37, 30, 6, 55]",33409.0
100,10000,1,2.0,0.2,1,"[46, 50, 34, 51, 9, 2, 28, 47, 53, 21, 48, 15, 7, 35, 16, 25, 18, 5, 27, 13, 32, 44, 14, 33, 45, 55, 36, 38, 40, 1, 54, 26, 42, 11, 56, 4, 22, 8, 31, 39, 12, 24, 29, 0, 43, 17, 49, 52, 23, 57, 10, 20, 37, 41, 30, 6, 3, 19, 46]",39293.0
100,10000,1,2.0,0.2,1,"[19, 52, 49, 3, 31, 24, 39, 29, 12, 8, 17, 43, 0, 23, 57, 1, 54, 4, 14, 33, 18, 50, 40, 34, 9, 51, 46, 47, 53, 42, 11, 56, 26, 28, 2, 48, 38, 5, 25, 35, 16, 32, 44, 45, 55, 13, 36, 27, 20, 10, 21, 7, 15, 37, 41, 6, 30, 22, 19]",36473.0
100,10000,1,2.0,0.2,1,"[48, 46, 50, 9, 34, 1, 21, 54, 53, 40, 47, 38, 7, 42, 26, 0, 8, 12, 31, 19, 17, 43, 29, 39, 24, 57, 23, 56, 51, 4, 22, 15, 10, 20, 35, 16, 18, 33, 13, 32, 45, 44, 55, 14, 36, 27, 25, 5, 28, 2, 11, 3, 52, 49, 41, 37, 30, 6, 48]",38536.0
100,10000,1,1.5,0.2,1,"[35, 21, 2, 51, 9, 40, 5, 25, 16, 18, 14, 45, 27, 50, 48, 46, 15, 30, 6, 28, 47, 23, 43, 17, 24, 12, 8, 31, 52, 3, 53, 1, 54, 56, 11, 4, 42, 38, 7, 26, 22, 29, 39, 49, 19, 0, 57, 34, 20, 36, 13, 32, 33, 55, 44, 10, 37, 41, 35]",48364.0
100,10000,1,1.5,0.2,1,"[55, 45, 13, 36, 33, 44, 32, 57, 8, 12, 24, 39, 52, 31, 29, 43, 23, 53, 54, 15, 7, 50, 9, 56, 11, 42, 26, 27, 14, 10, 34, 46, 48, 51, 1, 40, 2, 38, 47, 20, 16, 25, 18, 5, 28, 35, 4, 21, 22, 0, 17, 41, 6, 30, 37, 19, 3, 49, 55]",48137.0
100,10000,1,1.5,0.2,1,"[44, 55, 36, 42, 32, 18, 13, 27, 16, 35, 48, 50, 34, 9, 15, 20, 47, 53, 25, 5, 45, 33, 14, 2, 22, 4, 1, 46, 51, 56, 39, 24, 8, 49, 29, 17, 12, 43, 0, 57, 23, 31, 19, 3, 52, 21, 7, 40, 38, 28, 11, 26, 54, 10, 37, 30, 6, 41, 44]",45571.0
100,10000,1,1.5,0.2,1,"[15, 10, 26, 46, 50, 51, 9, 34, 35, 28, 47, 40, 1, 38, 2, 42, 57, 39, 24, 8, 12, 19, 55, 36, 25, 18, 32, 13, 44, 33, 45, 5, 11, 7, 22, 4, 56, 48, 16, 14, 53, 54, 21, 27, 20, 23, 0, 3, 49, 52, 43, 17, 31, 29, 41, 37, 30, 6, 15]",47947.0
100,10000,1,1.5,0.2,1,"[27, 18, 35, 28, 40, 34, 54, 53, 1, 47, 26, 51, 9, 48, 50, 46, 43, 17, 0, 23, 57, 19, 49, 52, 39, 24, 12, 29, 31, 8, 55, 44, 36, 13, 32, 14, 33, 5, 25, 16, 38, 2, 20, 42, 56, 21, 7, 4, 22, 11, 3, 10, 15, 41, 37, 30, 6, 45, 27]",45594.0
100,50000,1,4.0,0.2,1,"[20, 27, 5, 18, 25, 16, 35, 2, 40, 1, 53, 54, 7, 21, 9, 50, 46, 48, 51, 34, 47, 38, 28, 44, 32, 13, 14, 33, 55, 45, 36, 42, 26, 4, 22, 56, 11, 57, 23, 43, 17, 0, 29, 12, 8, 24, 39, 31, 19, 52, 49, 3, 10, 15, 37, 41, 30, 6, 20]",25602.0
100,50000,1,4.0,0.2,1,"[48, 50, 46, 16, 25, 5, 18, 27, 13, 36, 14, 33, 45, 44, 32, 55, 34, 9, 51, 53, 54, 47, 1, 40, 38, 2, 42, 26, 4, 22, 11, 56, 23, 57, 17, 43, 0, 29, 39, 24, 8, 12, 31, 19, 52, 49, 3, 7, 21, 28, 35, 20, 10, 15, 37, 41, 30, 6, 48]",24986.0
100,50000,1,4.0,0.2,1,"[2, 34, 9, 51, 50, 46, 48, 1, 40, 53, 54, 47, 38, 28, 18, 5, 25, 16, 35, 27, 36, 13, 32, 14, 33, 45, 44, 55, 20, 10, 15, 21, 7, 4, 22, 56, 11, 42, 26, 57, 23, 43, 17, 0, 8, 24, 39, 12, 29, 31, 19, 52, 49, 3, 37, 41, 30, 6, 2]",26739.0
100,50000,1,4.0,0.2,1,"[54, 53, 1, 40, 34, 9, 50, 46, 48, 51, 2, 35, 16, 25, 5, 27, 18, 36, 13, 32, 14, 33, 45, 55, 44, 28, 38, 20, 47, 10, 15, 21, 7, 4, 26, 42, 11, 56, 22, 23, 57, 29, 12, 39, 24, 8, 31, 19, 52, 49, 3, 0, 43, 17, 37, 41, 30, 6, 54]",27437.0
100,50000,1,4.0,0.2,1,"[6, 30, 41, 37, 15, 21, 7, 54, 40, 1, 53, 34, 46, 48, 50, 51, 9, 2, 47, 28, 38, 10, 20, 35, 16, 25, 5, 18, 27, 13, 33, 45, 44, 36, 14, 55, 32, 26, 11, 56, 42, 4, 22, 43, 17, 29, 12, 39, 24, 8, 31, 19, 52, 49, 3, 57, 23, 0, 6]",26037.0
